ALDH1A1	NP_000680.2
ITGA7	NP_001138468.1
CHRNA1	NP_001034612.1
PPP1R9A	NP_060120.2
ACTG1	NP_001605.1
SRGN	NP_002718.2
CD44	NP_000601.3
GRB7	NP_005301.2
ERBB2	NP_004439.2
PAK1	AAC24716.1
DLG4	NP_001356.1
PIK3R2	NP_005018.1
PTPN18	NP_055184.2
ERBB2IP	AAK69431.1
SMURF2	NP_073576.1
ARHGAP5	NP_001025226.1
NF2	NP_000259.1
CD82	NP_002222.1
ERRFI1	NP_061821.1
MMP7	NP_002414.1
TOB1	NP_005740.1
MUC4	NP_060876.5
PICK1	NP_036539.1
TXNIP	NP_006463.3
DDX20	NP_009135.4
ETV3	NP_001138784.1
TLE1	NP_005068.2
FOXG1	NP_005240.3
TLE3	NP_005069.2
HDAC1	NP_004955.2
SMAD1	NP_005891.1
KDM5B	NP_006609.3
CD4	NP_000607.1
DAB2	NP_001334.2
CBL	NP_005179.2
VAV1	NP_005419.2
PLCG1	NP_002651.2
PRLR	NP_000940.1
TYK2	NP_003322.3
DGCR2	NP_005128.1
MAPK1	NP_002736.3
RHOG	NP_001656.2
HRAS	NP_005334.1
BTK	NP_000052.1
TGFBR1	NP_004603.1
SYK	NP_003168.2
SHB	NP_003019.2
PRKCQ	NP_006248.1
TEC	NP_003206.2
IL6ST	NP_002175.2
HNRNPK	NP_002131.2
SLA	NP_006739.2
PTK2B	NP_004094.3
EZH2	NP_004447.2
LCP2	NP_005556.1
TGFBR2	NP_001020018.1
ZYX	NP_003452.1
SH3BP2	NP_003014.3
SIAH2	NP_005058.3
LAT	NP_001014989.2
ARHGDIB	NP_001166.3
SOCS1	NP_003736.1
AOC3	NP_003725.1
NEK3	NP_002489.1
CBLB	NP_733762.2
BLNK	NP_037446.1
VAV2	NP_001127870.1
RACGAP1	NP_037409.2
PAG1	NP_060910.3
DOCK2	NP_004937.1
FAM175B	NP_115558.3
ACBD3	NP_073572.2
YES1	NP_005424.1
PECAM1	NP_000433.3
CD36	NP_000063.2
RPL10	NP_006004.2
MST1R	NP_002438.2
ERBB4	NP_005226.1
TYRO3	NP_006284.2
ADAM12	NP_003465.3
NPHS1	NP_004637.1
OCLN	NP_002529.1
CD2AP	NP_036252.1
TRPV4	NP_067638.3
SF3A2	NP_009096.2
GP6	BAB12247.1
TP53BP2	NP_001026855.2
TIAM1	NP_003244.2
SP1	NP_612482.2
REL	NP_002899.1
ELF1	NP_758961.1
ACOX3	NP_003492.2
RNF111	NP_060080.6
NKRF	NP_060014.2
TBP	NP_003185.1
TMEM139	NP_699176.1
LAPTM5	NP_006753.1
MAPK8	NP_620637.1
SNRNP70	NP_003080.2
DMP1	NP_004398.1
PPP4C	NP_002711.1
NUP155	NP_705618.1
ZFYVE9	NP_004790.2
SUMF2	NP_001123541.1
ETS2	NP_005230.1
SMAD7	NP_005895.1
ZNF107	NP_001013768.1
ZBTB44	NP_054874.3
TTF2	NP_003585.3
HSPA8	NP_006588.1
MYOD1	NP_002469.2
GTF2B	NP_001505.1
ARHGEF1	NP_945353.1
SOX5	NP_008871.3
ASH1L	NP_060959.2
ZBTB11	NP_055230.2
CALM1	NP_008819.1
SOX13	AAC83687.1
KIT	NP_000213.1
LYN	NP_002341.1
PIK3R1	NP_852664.1
PTPN11	NP_002825.3
LGALS13	NP_037400.1
PTPN6	NP_536859.1
PRKCA	NP_002728.1
KITLG	NP_000890.1
SRC	NP_005408.1
MATK	NP_002369.2
STAT1	NP_009330.1
PTPRO	NP_109592.1
GRB10	NP_005302.3
FCGR3A	NP_000560.5
CD38	NP_001766.2
CRKL	NP_005198.1
DOK1	NP_001372.1
GRAP	NP_006604.1
GRAP2	NP_004801.1
SH2B3	NP_005466.1
CD81	NP_004347.1
MPDZ	NP_003820.2
SPRED1	NP_689807.1
LCK	NP_005347.3
STAP1	NP_036240.1
SH2B2	NP_066189.3
SPRED2	NP_861449.2
FGR	NP_005239.1
WAS	NP_000368.1
CD24	NP_037362.1
PTK2	NP_005598.3
CCR3	NP_001828.1
HCLS1	NP_005326.2
SLAMF1	NP_003028.1
INPP5D	NP_001017915.1
EBNA1BP2	NP_006815.2
FGF3	NP_005238.1
DLL4	NP_061947.1
NOTCH4	NP_004548.3
MAML1	NP_055572.1
FBXW7	NP_361014.1
INS	NP_000198.1
NOV	NP_002505.1
NOTCH1	NP_060087.3
DLL1	NP_005609.3
S100A4	NP_002952.1
NFATC1	NP_765975.1
PIM1	NP_002639.1
SND1	AAP88787.1
CBX3	NP_057671.2
CBX1	NP_006798.1
NHEJ1	NP_079058.1
FZD5	NP_003459.2
WNT5A	NP_003383.2
C9	NP_001728.1
CD59	NP_000602.1
ROR2	NP_004551.2
FZD1	NP_003496.1
ROS1	NP_002935.2
ABL1	NP_009297.2
VAV3	NP_006104.4
GDI2	NP_001485.2
RAB8A	NP_005361.2
OPTN	NP_068815.2
MAP4K2	NP_004570.2
RPH3AL	NP_008918.1
C8A	NP_000553.1
SYTL4	NP_542775.2
RIMS2	NP_001093587.1
RPH3A	NP_001137326.1
FLT1	NP_002010.2
KDR	NP_002244.1
VEGFA	NP_001020537.2
PLCG2	AAH11772.1
SHC1	NP_001123512.1
PGF	NP_002623.2
VEGFB	NP_003368.1
GNAI3	NP_006487.1
ATR	NP_001175.2
ERG	NP_001129626.1
SPI1	NP_001074016.1
FLI1	NP_002008.2
ETV1	NP_004947.2
SETDB1	NP_001138887.1
TTF1	NP_031370.2
SOS1	NP_005624.2
RRAS	NP_006261.1
ARAF	NP_001645.1
NCK1	NP_006144.1
CD9	NP_001760.1
EPHB2	NP_004433.2
RALGDS	NP_006257.1
RASSF5	NP_872604.1
NAV2	NP_892009.3
RASIP1	NP_060275.2
COL4A5	NP_203699.1
OSM	NP_065391.1
COL4A6	NP_001838.2
OSMR	NP_003990.1
CD2	AAA51946.1
PRKCD	NP_006245.2
GRIA3	NP_000819.3
DSTN	NP_006861.1
PDE4A	NP_001104777.1
CASP3	NP_004337.2
SLC6A8	NP_005620.1
PRKDC	NP_008835.5
PIK3CG	NP_002640.2
MAPK3	NP_002737.2
MAP4K1	NP_009112.1
KHDRBS1	NP_006550.1
RGS16	NP_002919.3
UBXN11	NP_892120.2
NCR1	NP_004820.1
PPP1R8	NP_054829.2
BCAR1	NP_055382.2
UNC119	NP_005139.1
TRAT1	NP_057472.2
SKAP1	NP_003717.3
SKAP2	NP_003921.2
NCR3	NP_667341.1
GAB2	NP_036428.1
PRAM1	NP_115528.3
GAB3	NP_001075042.1
PPP1R15A	NP_055145.3
FCGR2B	NP_003992.3
CBLC	NP_036248.3
BANK1	NP_060405.4
EVL	NP_057421.1
GRB2	NP_002077.1
CD72	NP_001773.1
NEDD9	NP_006394.1
CHST15	NP_056976.2
DOK3	NP_079148.2
JUN	NP_002219.1
POU1F1	NP_001116229.1
MAF	NP_005351.2
RB1	NP_000312.2
NR5A1	NP_004950.2
CD5	NP_055022.2
NFYA	NP_002496.1
GTF2F2	NP_004119.1
TPM1	NP_000357.3
HCFC1	NP_005325.2
TAF1	NP_004597.2
AR	NP_000035.2
CREBBP	NP_004371.2
RUNX2	NP_001019801.3
STAT4	NP_003142.1
HMGA1	NP_665906.1
SMAD4	NP_005350.1
PIN1	NP_006212.1
NACA	NP_001106674.1
SMAD2	NP_005892.1
SEMA4D	NP_006369.3
TDG	NP_003202.3
FOSL2	NP_005244.1
SMARCD1	NP_003067.3
VDR	NP_000367.1
SUMO1	NP_003343.1
NCOA3	NP_858045.1
NRIP1	NP_003480.2
TGIF1	NP_733796.2
NCOA1	NP_003734.3
EP300	NP_001420.2
MAPK9	NP_002743.3
TSC22D3	NP_932174.1
TCF20	NP_005641.1
SMAD3	NP_005893.1
DHX9	NP_001348.2
ATF3	NP_001665.1
HIF1A	NP_001521.1
TRIP4	NP_057297.2
MYBBP1A	NP_001099008.1
SERPINA3	NP_001076.2
PRKD1	NP_002733.2
DDX21	NP_004719.2
SPIB	Q01892
PACS1	NP_060496.2
ATF4	NP_001666.2
HHEX	NP_002720.1
COPS5	NP_006828.2
MAFB	NP_005452.2
RFWD2	NP_071902.2
EN1	NP_001417.3
TBCB	NP_001272.2
USP7	NP_003461.2
CTSG	NP_001902.1
HDAC3	NP_003874.2
UBE2I	NP_003336.1
RBM39	NP_909122.1
RAGE	NP_055041.1
MAPKAPK5	NP_620777.1
BATF	NP_006390.1
CREB5	NP_878901.2
COBRA1	NP_056271.2
TPM2	NP_003280.2
CTRL	NP_001898.1
PIAS1	NP_057250.1
RPL18A	NP_000971.1
JDP2	NP_001128521.1
SNRK	NP_060189.3
RNPEP	NP_064601.3
FHL2	NP_001441.4
EIF4G1	NP_886553.2
ZMYND8	NP_898868.1
CHD6	NP_115597.3
RBBP6	NP_008841.2
CTRB1	NP_001897.4
RHOT2	NP_620124.1
SMAD5	NP_005894.3
SF3B1	NP_036565.2
MAPK14	NP_001306.1
JUNB	NP_002220.1
JUND	NP_005345.3
CMA1	NP_001827.1
NFE2L2	NP_006155.2
MMP1	NP_002412.1
CEBPB	NP_005185.2
NONO	NP_031389.3
GATA1	NP_002040.1
IRF8	NP_002154.1
IRF4	NP_002451.2
FGFR2	NP_075261.1
FGF5	NP_004455.2
CELA1	NP_001962.3
MTMR10	NP_060232.2
OPRK1	NP_000903.2
OPRD1	NP_000902.3
PRKCE	NP_005391.1
OPRM1	NP_001138751.1
KLHL3	NP_059111.2
ELANE	NP_001963.1
SLC9A3R1	NP_004243.1
MECOM	NP_001098547.3
CTBP1	NP_001319.1
CTBP2	NP_073713.2
HDAC4	NP_006028.2
KAT2B	NP_003875.3
